id,姓名,登录用用户名,密码,班级id,联系电话,邮箱,入学日期,年级
101,杨关城,2020122100611,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin@qq.com,19:13.1,3
102,卢佳彤,2020122101835,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin1@qq.com,19:13.1,3
103,陶秀军,2020122102752,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin2@qq.com,19:13.1,3
104,方宇杰,2020122104559,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin3@qq.com,19:13.1,3
105,安紫宁,2020122104563,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin4@qq.com,19:13.1,3
106,孔德旭,2020122104568,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin5@qq.com,19:13.1,3
107,谷志妍,2020122104571,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin6@qq.com,19:13.1,3
108,马士杰,2020122104574,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin7@qq.com,19:13.1,3
109,王嘉鹏,2020122104578,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin8@qq.com,19:13.1,3
110,王雅杰,2020122104582,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin9@qq.com,19:13.1,3
111,王东林,2020122104591,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin10@qq.com,19:13.1,3
112,段睿丰,2020122104593,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin11@qq.com,19:13.1,3
113,王磊,2020122104599,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin12@qq.com,19:13.1,3
114,袁东方,2020122104607,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin13@qq.com,19:13.1,3
115,李子昊,2020122104612,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin14@qq.com,19:13.1,3
116,安楠,2020122104613,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin15@qq.com,19:13.1,3
117,贾红宇,2020122104617,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin16@qq.com,19:13.1,3
118,韩镕泽,2020122104618,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin17@qq.com,19:13.1,3
119,徐欢,2020122104619,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin18@qq.com,19:13.1,3
120,罗伟,2020122104622,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin19@qq.com,19:13.1,3
121,李昕旺,2020122104624,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin20@qq.com,19:13.1,3
122,王艺然,2020122104627,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin21@qq.com,19:13.1,3
123,边柯丹,2020122104637,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin22@qq.com,19:13.1,3
124,高赫骞,2020122104641,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin23@qq.com,19:13.1,3
125,杨洋,2020122104643,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin24@qq.com,19:13.1,3
126,云曦,2020122104649,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin25@qq.com,19:13.1,3
127,吴智辉,2020122104650,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin26@qq.com,19:13.1,3
128,张利婷,2020122104654,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin27@qq.com,19:13.1,3
129,侯瑞东,2020122105640,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin28@qq.com,19:13.1,3
130,刘瀚斌,2020122105935,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin29@qq.com,19:13.1,3
131,额尔敦套古斯,2020122109031,827ccb0eea8a706c4c34a16891f84e7b,3,18999999999,admin30@qq.com,19:13.1,3
